month,owner_org_title,count,airfare,other_transport,lodging,meals,other_expenses
2016-01,Atlantic Canada Opportunities Agency,16,9021.92,941.6,2946.77,2214.3,209.26
2016-01,Atomic Energy Of Canada Limited,10,0.0,2812.35,1769.07,1191.97,387.51
2016-01,Canada Border Services Agency,12,10894.619999999999,1009.88,3238.25,1863.4900000000002,892.13
2016-01,Canada Economic Development For Quebec Regions,11,0.0,1143.68,1904.72,224.7,0.0
2016-01,Canada Revenue Agency,16,11715.34,2639.0,3741.17,3314.02,0.0
2016-01,Canadian Air Transport Security Authority,5,2614.8599999999997,813.03,923.5899999999999,631.33,0.0
2016-01,Canadian Heritage,24,15872.800000000001,1843.78,2935.08,2266.03,417.74
2016-01,Canadian Human Rights Commission,2,2015.78,39.88,443.22,358.65,0.0
2016-01,Canadian Institutes Of Health Research,5,7970.96,481.39,2764.61,1153.46,29.0
2016-01,Canadian Space Agency,3,1492.7,669.3,208.95,203.01,67.0
2016-01,Correctional Service Of Canada,11,3354.2799999999997,1015.46,5301.46,3745.89,318.64
2016-01,Crown-Indigenous Relations And Northern Affairs Canada,13,17346.7,271.27,3756.35,3174.59,1144.22
2016-01,Department Of Finance Canada,40,52873.8,8532.880000000001,14443.8,11984.74,1025.66
2016-01,Employment And Social Development Canada,32,21747.07,3944.13,10366.72,6399.599999999999,129.68
2016-01,Federal Economic Development Agency For Southern Ontario,6,3511.58,580.24,1959.67,1308.4,0.0
2016-01,Financial Consumer Agency Of Canada,7,2673.61,1186.93,1040.0,844.95,107.5
2016-01,Financial Transactions And Reports Analysis Centre Of Canada,3,5230.82,524.88,1881.8000000000002,867.45,528.58
2016-01,Global Affairs Canada,68,181695.4,7334.5599999999995,39594.27,14891.92,1308.84
2016-01,"Immigration, Refugees And Citizenship Canada",13,47946.63,1636.02,9263.039999999999,4157.98,321.68
2016-01,Impact Assessment Agency Of Canada,1,702.83,66.2,135.6,112.35,21.0
2016-01,"Innovation, Science And Economic Development Canada",42,36676.91,3811.0,9418.44,7167.72,62.129999999999995
2016-01,National Research Council Canada,9,6009.49,1664.6000000000001,2447.62,1542.35,0.0
2016-01,Natural Resources Canada,19,25352.35,2424.69,8361.08,4978.84,62.370000000000005
2016-01,Office Of The Taxpayers' Ombudsperson,1,1166.54,389.25,371.28,426.6,0.0
2016-01,Parks Canada,9,8173.650000000001,1588.0,4811.63,3313.6000000000004,212.6
2016-01,Parole Board Of Canada,1,454.0,194.0,148.0,129.0,10.0
2016-01,Public Service Commission Of Canada,1,353.0,223.0,170.0,190.0,0.0
2016-01,Royal Canadian Mounted Police,14,5957.13,867.3900000000001,2462.52,1334.9,552.46
2016-01,Shared Services Canada,1,1288.0,129.0,484.0,448.0,0.0
2016-01,Transport Canada,13,11675.64,1934.98,3084.25,2305.7,273.98
2016-01,Veterans Affairs Canada,15,13461.6,1030.92,8432.58,4565.2,219.0
2016-01,Veterans Review And Appeal Board,2,707.0,299.0,851.0,536.0,0.0
2016-01,Western Economic Diversification Canada,13,6334.08,2182.19,3669.05,2487.6,152.99
2016-02,Atlantic Canada Opportunities Agency,14,6794.900000000001,1055.65,3799.85,2907.42,116.02
2016-02,Atomic Energy Of Canada Limited,13,0.0,6411.54,5374.55,1962.46,403.47
2016-02,Canada Border Services Agency,16,14074.43,1154.16,4445.96,2816.8599999999997,465.49
2016-02,Canada Economic Development For Quebec Regions,12,0.0,2190.08,2060.95,1757.46,0.0
2016-02,Canada Revenue Agency,35,21681.73,4291.99,8145.1900000000005,5238.88,62.0
2016-02,Canadian Air Transport Security Authority,2,1527.72,130.5,411.25,241.5,0.0
2016-02,Canadian Food Inspection Agency,1,5851.77,235.13,1169.8,985.62,0.0
2016-02,Canadian Heritage,26,28985.62,2740.48,10364.2,5579.61,148.84
2016-02,Canadian Human Rights Commission,2,1382.72,331.75,1438.4,677.4000000000001,0.0
2016-02,Canadian Institutes Of Health Research,7,5018.49,520.5,1333.72,834.29,168.81
2016-02,Canadian Space Agency,6,577.9,1134.06,364.90999999999997,269.1,137.51
2016-02,Canadian Transportation Agency,2,249.15,128.53,0.0,61.2,0.0
2016-02,Correctional Service Of Canada,17,8419.2,1618.68,5570.46,4389.16,565.85
2016-02,Courts Administration Service,2,0.0,614.91,865.13,554.25,0.0
2016-02,Crown-Indigenous Relations And Northern Affairs Canada,10,13213.14,398.25,3248.89,2172.89,1056.1
2016-02,Department Of Finance Canada,53,63860.61,7188.3,15033.99,9060.0,762.41
2016-02,Employment And Social Development Canada,42,35138.32,5825.8,9669.17,6893.52,430.96000000000004
2016-02,Federal Economic Development Agency For Southern Ontario,5,2278.11,520.71,1522.33,905.5999999999999,0.0
2016-02,Financial Consumer Agency Of Canada,2,879.7,271.12,830.59,492.54999999999995,126.0
2016-02,Financial Transactions And Reports Analysis Centre Of Canada,4,1257.07,918.11,1251.32,646.61,168.54
2016-02,Global Affairs Canada,53,150517.78,5181.95,21970.97,10313.19,506.75
2016-02,"Immigration, Refugees And Citizenship Canada",12,21889.350000000002,1150.42,2541.38,1636.63,192.68
2016-02,"Innovation, Science And Economic Development Canada",27,29874.17,2603.39,14304.800000000001,4717.55,131.41
2016-02,National Defence,3,260.85,192.0,876.72,677.4,0.0
2016-02,National Research Council Canada,24,7409.54,2673.11,4812.48,3220.92,952.15
